symbol,name,ISIN_Code,ipo_date,market,industry,CFIC_Code,note,AvgVolume
1101,台泥,TW0001101004,1962/02/09,上市,水泥工業,ESVUFR,,29225
1102,亞泥,TW0001102002,1962/06/08,上市,水泥工業,ESVUFR,,9036
1216,統一,TW0001216000,1987/12/28,上市,食品工業,ESVUFR,,11211
1301,台塑,TW0001301000,1964/07/27,上市,塑膠工業,ESVUFR,,22639
1303,南亞,TW0001303006,1967/11/05,上市,塑膠工業,ESVUFR,,70126
1312,國喬,TW0001312007,1988/12/21,上市,塑膠工業,ESVUFR,,3319
1313,聯成,TW0001313005,1989/03/27,上市,塑膠工業,ESVUFR,,3619
1314,中石化,TW0001314003,1991/07/12,上市,塑膠工業,ESVUFR,,13450
1316,上曜,TW0001316008,1992/10/15,上市,建材營造業,ESVUFR,,6306
1326,台化,TW0001326007,1984/12/20,上市,塑膠工業,ESVUFR,,18196
1402,遠東新,TW0001402006,1967/04/14,上市,紡織纖維,ESVUFR,,9342
1409,新纖,TW0001409001,1973/08/31,上市,紡織纖維,ESVUFR,,11765
1504,東元,TW0001504009,1973/11/05,上市,電機機械,ESVUFR,,42006
1513,中興電,TW0001513000,1994/03/08,上市,電機機械,ESVUFR,,4872
1519,華城,TW0001519007,1997/04/16,上市,電機機械,ESVUFR,,4144
1528,恩德,TW0001528008,2000/09/11,上市,電機機械,ESVUFR,,8760
1536,和大,TW0001536001,2001/09/17,上市,汽車工業,ESVUFR,,4913
1560,中砂,TW0001560001,2005/01/31,上市,電機機械,ESVUFR,,4120
1605,華新,TW0001605004,1972/11/03,上市,電器電纜,ESVUFR,,24784
1608,華榮,TW0001608008,1988/07/11,上市,電器電纜,ESVUFR,,5235
1609,大亞,TW0001609006,1988/12/12,上市,電器電纜,ESVUFR,,9907
1616,億泰,TW0001616001,2000/09/11,上市,電器電纜,ESVUFR,,8119
1711,永光,TW0001711000,1988/12/27,上市,化學工業,ESVUFR,,5973
1717,長興,TW0001717007,1994/03/31,上市,化學工業,ESVUFR,,15818
1727,中華化,TW0001727006,2000/09/11,上市,化學工業,ESVUFR,,5622
1802,台玻,TW0001802007,1973/07/20,上市,玻璃陶瓷,ESVUFR,,82007
1810,和成,TW0001810000,1991/10/14,上市,玻璃陶瓷,ESVUFR,,5719
2002,中鋼,TW0002002003,1974/12/26,上市,鋼鐵工業,ESVUFR,,24273
2014,中鴻,TW0002014008,1992/02/20,上市,鋼鐵工業,ESVUFR,,7554
2027,大成鋼,TW0002027000,1996/10/24,上市,鋼鐵工業,ESVUFR,,31081
2049,上銀,TW0002049004,2009/06/26,上市,電機機械,ESVUFR,,3835
2105,正新,TW0002105004,1987/12/07,上市,橡膠工業,ESVUFR,,4477
2208,台船,TW0002208006,2008/12/22,上市,航運業,ESVUFR,,16394
2301,光寶科,TW0002301009,1995/11/17,上市,電腦及週邊設備業,ESVUFR,,27095
2303,聯電,TW0002303005,1985/07/16,上市,半導體業,ESVUFR,,37589
2308,台達電,TW0002308004,1988/12/19,上市,電子零組件業,ESVUFR,,13219
2312,金寶,TW0002312006,1989/11/07,上市,其他電子業,ESVUFR,,9290
2313,華通,TW0002313004,1990/07/24,上市,電子零組件業,ESVUFR,,23397
2316,楠梓電,TW0002316007,1991/02/05,上市,電子零組件業,ESVUFR,,17727
2317,鴻海,TW0002317005,1991/06/18,上市,其他電子業,ESVUFR,,57471
2323,中環,TW0002323003,1992/02/17,上市,光電業,ESVUFR,,3693
2324,仁寶,TW0002324001,1992/02/18,上市,電腦及週邊設備業,ESVUFR,,31355
2327,國巨*,TW0002327004,1993/10/22,上市,電子零組件業,ESVUFR,,17474
2328,廣宇,TW0002328002,1993/11/09,上市,電子零組件業,ESVUFR,,29981
2329,華泰,TW0002329000,1994/04/20,上市,半導體業,ESVUFR,,8120
2330,台積電,TW0002330008,1994/09/05,上市,半導體業,ESVUFR,,29767
2332,友訊,TW0002332004,1994/10/17,上市,通信網路業,ESVUFR,,4571
2337,旺宏,TW0002337003,1995/03/15,上市,半導體業,ESVUFR,,24019
2338,光罩,TW0002338001,1995/04/17,上市,半導體業,ESVUFR,,5171
2340,台亞,TW0002340007,1995/05/02,上市,半導體業,ESVUFR,,5230
2344,華邦電,TW0002344009,1995/10/18,上市,半導體業,ESVUFR,,135002
2345,智邦,TW0002345006,1995/11/15,上市,通信網路業,ESVUFR,,4827
2347,聯強,TW0002347002,1995/12/13,上市,電子通路業,ESVUFR,,5732
2349,錸德,TW0002349008,1996/04/23,上市,光電業,ESVUFR,,3396
2352,佳世達,TW0002352002,1996/07/22,上市,電腦及週邊設備業,ESVUFR,,6639
2353,宏��,TW0002353000,1996/09/18,上市,電腦及週邊設備業,ESVUFR,,16998
2354,鴻準,TW0002354008,1996/10/08,上市,其他電子業,ESVUFR,,18563
2355,敬鵬,TW0002355005,1996/10/14,上市,電子零組件業,ESVUFR,,4622
2356,英業達,TW0002356003,1996/11/13,上市,電腦及週邊設備業,ESVUFR,,15924
2357,華碩,TW0002357001,1996/11/14,上市,電腦及週邊設備業,ESVUFR,,3862
2359,所羅門,TW0002359007,1996/12/19,上市,其他電子業,ESVUFR,,5435
2360,致茂,TW0002360005,1996/12/21,上市,其他電子業,ESVUFR,,3183
2363,矽統,TW0002363009,1997/08/01,上市,半導體業,ESVUFR,,11761
2365,昆盈,TW0002365004,1997/11/03,上市,電腦及週邊設備業,ESVUFR,,13336
2367,燿華,TW0002367000,1997/12/13,上市,電子零組件業,ESVUFR,,13599
2368,金像電,TW0002368008,1998/03/09,上市,電子零組件業,ESVUFR,,11304
2369,菱生,TW0002369006,1998/04/10,上市,半導體業,ESVUFR,,3192
2371,大同,TW0002371002,1962/02/09,上市,電機機械,ESVUFR,,14816
2374,佳能,TW0002374006,1995/01/16,上市,光電業,ESVUFR,,36010
2376,技嘉,TW0002376001,1998/09/24,上市,電腦及週邊設備業,ESVUFR,,4228
2377,微星,TW0002377009,1998/10/31,上市,電腦及週邊設備業,ESVUFR,,4133
2382,廣達,TW0002382009,1999/01/08,上市,電腦及週邊設備業,ESVUFR,,19026
2383,台光電,TW0002383007,1998/11/27,上市,電子零組件業,ESVUFR,,4427
2385,群光,TW0002385002,1999/01/05,上市,電子零組件業,ESVUFR,,3208
2388,威盛,TW0002388006,1999/03/05,上市,半導體業,ESVUFR,,4508
2392,正崴,TW0002392008,1999/09/20,上市,電子零組件業,ESVUFR,,4109
2401,凌陽,TW0002401007,2000/01/27,上市,半導體業,ESVUFR,,9303
2402,毅嘉,TW0002402005,2000/01/14,上市,電子零組件業,ESVUFR,,14417
2405,輔信,TW0002405008,2000/03/17,上市,電腦及週邊設備業,ESVUFR,,4123
2406,國碩,TW0002406006,2000/04/29,上市,光電業,ESVUFR,,8332
2408,南亞科,TW0002408002,2000/08/17,上市,半導體業,ESVUFR,,96609
2409,友達,TW0002409000,2000/09/08,上市,光電業,ESVUFR,,39734
2412,中華電,TW0002412004,2000/10/27,上市,通信網路業,ESVUFR,,9209
2421,建準,TW0002421005,2000/09/11,上市,電子零組件業,ESVUFR,,5540
2427,三商電,TW0002427002,2000/09/11,上市,資訊服務業,ESVUFR,,3426
2429,銘旺科,TW0002429008,2000/09/11,上市,光電業,ESVUFR,,4166
2449,京元電子,TW0002449006,2001/05/09,上市,半導體業,ESVUFR,,32218
2454,聯發科,TW0002454006,2001/07/23,上市,半導體業,ESVUFR,,6169
2455,全新,TW0002455003,2002/01/24,上市,通信網路業,ESVUFR,,7477
2464,盟立,TW0002464005,2001/09/17,上市,其他電子業,ESVUFR,,5843
2468,華經,TW0002468006,2001/09/17,上市,資訊服務業,ESVUFR,,3816
2476,鉅祥,TW0002476009,2001/09/17,上市,電子零組件業,ESVUFR,,5277
2481,強茂,TW0002481009,2001/09/17,上市,半導體業,ESVUFR,,13019
2486,一詮,TW0002486008,2001/09/19,上市,光電業,ESVUFR,,4018
2492,華新科,TW0002492006,2001/09/17,上市,電子零組件業,ESVUFR,,3025
2498,宏達電,TW0002498003,2002/03/26,上市,通信網路業,ESVUFR,,42298
2504,國產,TW0002504008,1978/03/14,上市,建材營造業,ESVUFR,,3411
2515,中工,TW0002515004,1993/03/02,上市,建材營造業,ESVUFR,,5097
2520,冠德,TW0002520004,1993/10/27,上市,建材營造業,ESVUFR,,3333
2542,興富發,TW0002542008,1999/05/03,上市,建材營造業,ESVUFR,,5762
2543,皇昌,TW0002543006,1999/10/15,上市,建材營造業,ESVUFR,,3771
