symbol,exchange,buy_high,buy_low,drop_pct,stop_loss,A_date,B_date,C_date,A,B,C,last_close,name
1312.TW,TWSE,10.1,9.24,22.14,8.37,2025-04-02,2025-04-09,2025-04-11,10.75,8.37,10.1,9.64,國喬
1316.TW,TWSE,16.45,15.05,23.53,13.65,2025-04-01,2025-04-09,2025-04-15,17.85,13.65,16.45,15.15,上曜
2349.TW,TWSE,10.7,9.64,26.35,8.58,2025-04-02,2025-04-09,2025-04-15,11.65,8.58,10.7,10.7,錸德
2371.TW,TWSE,42.37,38.05,22.58,33.74,2025-04-02,2025-04-09,2025-04-15,43.58,33.74,42.37,39.85,大同
2385.TW,TWSE,146.0,136.75,25.66,127.5,2025-04-01,2025-04-09,2025-04-11,171.5,127.5,146.0,139.5,群光
2392.TW,TWSE,48.75,45.33,27.0,41.9,2025-04-02,2025-04-09,2025-04-15,57.4,41.9,48.75,48.5,正崴
2610.TW,TWSE,21.95,20.12,20.09,18.3,2025-04-01,2025-04-09,2025-04-11,22.9,18.3,21.95,20.85,華航
2615.TW,TWSE,86.0,73.55,26.91,61.1,2025-04-02,2025-04-09,2025-04-15,83.6,61.1,86.0,76.2,萬海
2637.TW,TWSE,61.2,56.15,27.0,51.1,2025-04-02,2025-04-09,2025-04-15,70.0,51.1,61.2,60.9,慧洋-KY
3047.TW,TWSE,20.55,18.6,26.81,16.65,2025-04-02,2025-04-09,2025-04-15,22.75,16.65,20.55,19.2,訊舟
6206.TW,TWSE,114.5,102.5,26.72,90.5,2025-04-02,2025-04-09,2025-04-15,123.5,90.5,114.5,105.5,飛捷
6285.TW,TWSE,119.0,110.25,27.5,101.5,2025-04-01,2025-04-09,2025-04-11,140.0,101.5,119.0,118.5,啟��
9958.TW,TWSE,176.5,154.0,26.94,131.5,2025-04-02,2025-04-09,2025-04-15,180.0,131.5,176.5,172.5,世紀鋼
