date,type,price,qty
2015-01-26,BUY,107.8306120510759,2075.0
2015-03-26,SELL,107.83061981201172,2075.0
2015-04-27,BUY,113.38891586454787,2098.0
2015-05-06,SELL,107.83061269986428,2098.0
2015-05-26,BUY,110.05394724041936,3148.0
2015-05-29,SELL,108.94225274700007,3148.0
2015-10-12,BUY,104.7600508596923,2409.0
2015-11-13,SELL,105.14239213045906,2409.0
2015-11-20,BUY,107.4364124866242,1812.0
2015-11-25,SELL,106.67174051163045,1812.0
2015-11-27,BUY,109.34809376009935,2080.0
2015-11-30,SELL,104.37772586191302,2080.0
2015-12-01,BUY,107.43640776517098,1849.0
2015-12-22,SELL,107.81874782938353,1849.0
2015-12-24,BUY,109.34809177022585,2205.0
2016-01-06,SELL,105.52474007131428,2205.0
2016-02-02,BUY,110.1127595600329,1711.0
2016-04-08,SELL,117.75946994357639,1711.0
2016-04-13,BUY,122.34752170810758,1868.0
2016-04-22,SELL,118.90648590185391,1868.0
2016-05-30,BUY,120.05349731445312,2179.0
2016-08-22,SELL,137.4760344132133,2179.0
2016-09-07,BUY,143.43595156282993,2048.0
2016-11-02,SELL,148.9985527530793,2048.0
2016-11-08,BUY,150.98523208253897,2230.0
2016-11-10,SELL,148.6012291921117,2230.0
2016-12-01,BUY,144.62793318951717,2413.0
2016-12-02,SELL,142.24398469389155,2413.0
2016-12-07,BUY,145.4225791741994,2230.0
2016-12-26,SELL,142.24398208660668,2230.0
2017-01-10,BUY,146.61464533598527,3203.0
2017-01-16,SELL,143.03864120440895,3203.0
2017-02-02,BUY,149.39593125423443,2481.0
2017-03-07,SELL,146.21725225320083,2481.0
2017-03-17,BUY,150.58789739783066,2202.0
2017-04-13,SELL,150.58789739783066,2202.0
2017-04-24,BUY,151.77988859477796,2446.0
2017-08-11,SELL,173.2621597110524,2446.0
2017-08-23,BUY,176.95733642578125,2079.0
2017-08-28,SELL,176.54674176816587,2079.0
2017-08-29,BUY,177.36788940429688,2544.0
2017-09-28,SELL,176.5467641955224,2544.0
2017-10-03,BUY,179.83133599784938,2005.0
2017-11-20,SELL,197.89654240318313,2005.0
2017-11-22,BUY,200.77062758138356,1873.0
2017-11-28,SELL,192.5591487069415,1873.0
2018-01-04,BUY,197.0754450596947,1593.0
2018-02-08,SELL,196.66482118490606,1593.0
2018-03-07,BUY,203.64463404605263,963.0
2018-03-26,SELL,198.30719777446018,963.0
2018-07-23,BUY,203.40707118877236,1192.0
2018-08-16,SELL,202.55601354622942,1192.0
2018-08-24,BUY,208.9390899219552,1566.0
2018-09-19,SELL,219.5775604248047,1566.0
2018-09-26,BUY,223.8328850472901,1082.0
2018-09-27,SELL,224.68401938384434,1082.0
2018-09-28,BUY,226.38614420572918,1166.0
2018-10-01,SELL,222.98179493022963,1166.0
2019-02-19,BUY,195.74737682092658,1581.0
2019-05-09,SELL,220.8541456969858,1581.0
2019-07-01,BUY,215.88921683175224,949.0
2019-08-06,SELL,211.05259486607144,949.0
2019-08-23,BUY,222.92432073157605,982.0
2020-01-08,SELL,290.06242535002133,982.0
2020-01-10,BUY,303.8960700280888,800.0
2020-01-31,SELL,288.27729053497313,800.0
2020-02-04,BUY,300.32606041541464,610.0
2020-02-10,SELL,286.93864214948115,610.0
2020-02-14,BUY,300.7723956207731,659.0
2020-02-18,SELL,289.61607531435004,659.0
2020-06-04,BUY,274.8552439571206,1071.0
2020-08-17,SELL,387.87561813880654,1071.0
2020-08-18,BUY,399.6844524709512,558.0
2020-09-07,SELL,388.7839716521787,558.0
2020-09-15,BUY,400.13860627935173,558.0
2020-10-08,SELL,411.011722387857,558.0
2020-10-12,BUY,418.3186059039572,598.0
2020-10-29,SELL,398.6814123018383,598.0
2020-11-05,BUY,412.3818201373792,726.0
2021-03-04,SELL,558.9652263114536,726.0
2021-03-29,BUY,552.038330078125,367.0
2021-04-01,SELL,551.116579987282,367.0
2021-04-07,BUY,565.8621798155738,397.0
2021-04-23,SELL,545.5869821947674,397.0
2021-04-28,BUY,558.489377043968,520.0
2021-04-29,SELL,561.2543603515625,520.0
2021-06-11,BUY,554.802978515625,550.0
2021-06-22,SELL,541.3729868958153,550.0
2021-06-29,BUY,553.4033461626839,488.0
2021-07-02,SELL,545.9998949530984,488.0
2021-07-12,BUY,550.6272149689081,528.0
2021-07-19,SELL,539.5219201156774,528.0
2021-08-05,BUY,553.4032762770685,635.0
2021-08-16,SELL,538.5966013033096,635.0
2021-09-01,BUY,568.2100915706566,427.0
2021-09-22,SELL,544.7664184570312,427.0
2021-10-22,BUY,557.7813720703125,485.0
2021-11-05,SELL,555.9221008300781,485.0
2021-11-08,BUY,557.7812929882164,738.0
2021-11-29,SELL,552.2035002684312,738.0
2021-12-03,BUY,570.7961967869809,566.0
2021-12-06,SELL,560.570278930664,566.0
2021-12-08,BUY,570.7961898246081,501.0
2021-12-09,SELL,563.3591127897564,501.0
2021-12-16,BUY,565.0191040039062,523.0
2022-01-25,SELL,600.5080298841837,523.0
2022-08-18,BUY,490.69256591796875,593.0
2022-08-23,SELL,474.65065983363564,593.0
2022-11-23,BUY,469.3185235310376,307.0
2022-12-08,SELL,450.81151515277037,307.0
2023-01-09,BUY,446.7246786581503,497.0
2023-02-17,SELL,500.1789303341427,497.0
2023-03-17,BUY,495.20745284032637,533.0
2023-04-14,SELL,495.20751953125,533.0
2023-05-19,BUY,513.4418573594631,563.0
2023-07-06,SELL,552.4855581097898,563.0
2023-07-13,BUY,565.984426958133,500.0
2023-07-21,SELL,539.9509887695312,500.0
2023-07-31,BUY,554.4139544731747,558.0
2023-08-01,SELL,544.7719820214327,558.0
2023-11-09,BUY,534.2357732200965,568.0
2023-12-05,SELL,553.6272286398369,568.0
2023-12-12,BUY,562.3533339978915,617.0
2024-01-05,SELL,563.3432053460016,617.0
2024-01-15,BUY,575.0388885602202,718.0
2024-03-28,SELL,757.8956616306181,718.0
2024-04-02,BUY,767.6875234869461,358.0
2024-04-22,SELL,724.6030148405913,358.0
2024-05-09,BUY,781.3963139979684,289.0
2024-07-26,SELL,899.4248655244902,289.0
2024-08-15,BUY,928.9141369978418,146.0
2024-09-04,SELL,878.7823215823609,146.0
2024-09-13,BUY,942.9302027862452,249.0
2024-11-01,SELL,983.4120488757621,249.0
2024-11-07,BUY,1036.7296159771126,160.0
2024-11-14,SELL,1016.9823210343071,160.0
2024-12-03,BUY,1046.6031893327902,218.0
